productId,name,subType,rarity,printing,marketPrice,lowPrice,highPrice,lastUpdated
575144,Quarter Century Bonanza Booster Pack,Normal,,,8.42,6.99,19.36,
575145,Quarter Century Bonanza Booster Box,Normal,,,188.4,182.99,294.0,
592167,Destiny HERO - Malicious (PCR),1st Edition,,,1.04,0.74,13.9,
592168,Destiny HERO - Malicious (Platinum Secret Rare),1st Edition,,,2.97,2.24,19.99,
592169,Destiny HERO - Malicious (Quarter Century Secret Rare),1st Edition,,,14.01,12.98,69.95,
592170,Destiny HERO - Malicious (Secret Rare),1st Edition,,,0.41,0.1,5.0,
592171,Destiny HERO - Malicious,1st Edition,,,0.2,0.05,3.0,
592172,Destiny HERO - Malicious (PUR),1st Edition,,,1.24,0.75,14.0,
592173,Destiny HERO - Malicious (UR),1st Edition,,,0.18,0.03,4.99,
592174,Armageddon Knight (PCR),1st Edition,,,0.61,0.4,14.8,
592175,Armageddon Knight (Platinum Secret Rare),1st Edition,,,1.25,0.99,9.99,
592176,Armageddon Knight (Quarter Century Secret Rare),1st Edition,,,6.1,5.88,39.99,
592177,Armageddon Knight (Secret Rare),1st Edition,,,0.35,0.15,9.99,
592178,Armageddon Knight,1st Edition,,,0.16,0.05,3.0,
592179,Armageddon Knight (PUR),1st Edition,,,0.62,0.19,14.0,
592180,Armageddon Knight (UR),1st Edition,,,0.27,0.01,5.0,
592181,Fabled Lurrie (PCR),1st Edition,,,0.69,0.25,13.9,
592182,Fabled Lurrie (Platinum Secret Rare),1st Edition,,,1.98,0.99,14.95,
592183,Fabled Lurrie (Quarter Century Secret Rare),1st Edition,,,4.18,3.65,35.99,
592184,Fabled Lurrie (Secret Rare),1st Edition,,,0.38,0.1,4.0,
592185,Fabled Lurrie,1st Edition,,,0.22,0.08,1.53,
592186,Fabled Lurrie (PUR),1st Edition,,,0.59,0.34,14.0,
592187,Fabled Lurrie (UR),1st Edition,,,0.16,0.01,4.99,
592188,Deep Sea Diva (PCR),1st Edition,,,0.58,0.01,13.9,
592189,Deep Sea Diva (Platinum Secret Rare),1st Edition,,,1.19,0.75,14.99,
592190,Deep Sea Diva (Quarter Century Secret Rare),1st Edition,,,4.88,3.7,39.95,
592191,Deep Sea Diva (Secret Rare),1st Edition,,,0.36,0.04,4.86,
592192,Deep Sea Diva,1st Edition,,,0.16,0.01,3.0,
592193,Deep Sea Diva (PUR),1st Edition,,,0.63,0.3,14.0,
